Active Life,No,,0,,170,,Lets get this number as low as posslible
Adult Entertainment,Yes,,1,,,,
Afghan,Yes,,1,,,,
African,Yes,,1,,,,
Airports,Maybe,,0,,,,
American (New),Yes,,1,,,,
American (Traditional),Yes,,1,,,,
Amusement Parks,Yes,,1,,,,
Apartments,No,,0,,,,
Arabian,Yes,,1,,,,
Arcades,No,,0,,,,
Argentine,Yes,,1,,,,
Art Galleries,No,,0,,,,
Arts & Crafts,No,,0,,,,
Arts & Entertainment,No,,0,,,,
Asian Fusion,Yes,,1,,,,
Australian,Yes,,1,,,,
Austrian,Yes,,1,,,,
Auto Repair,No,,0,,,,
Automotive,No,,0,,,,
Baden,Maybe,,0,,,,
Bagels,Yes,,1,,,,
Bakeries,Yes,,1,,,,
Bangladeshi,Yes,,1,,,,
Banks & Credit Unions,No,,0,,,,
Barbeque,Yes,,1,,,,
Bars,Yes,,1,,,,
Basque,Yes,,1,,,,
Bavarian,Yes,,1,,,,
Beauty & Spas,No,,0,,,,
Bed & Breakfast,Maybe,,0,,,,
Beer,Yes,,1,,,,
Beer Bar,,,0,,,,
Beer Garden,,,0,,,,
Beer Gardens,,,0,,,,
Belgian,Yes,,1,,,,
Bikes,No,,0,,,,
Bistros,Yes,,1,,,,
Books,No,,0,,,,
Bookstores,No,,0,,,,
Bowling,No,,0,,,,
Brasseries,Maybe,,0,,,,
Brazilian,Yes,,1,,,,
Breakfast & Brunch,Yes,,1,,,,
Breweries,Yes,,1,,,,
British,Yes,,1,,,,
Bubble Tea,Yes,,1,,,,
Buffets,Yes,,1,,,,
Burgers,Yes,,1,,,,
Burmese,Yes,,1,,,,
Butcher,No,,0,,,,
Cafes,Yes,,1,,,,
Cafeteria,Yes,,1,,,,
Cajun/Creole,Yes,,1,,,,
Cambodian,Yes,,1,,,,
Canadian (New),Yes,,1,,,,
Candy Stores,No,,0,,,,
Cantonese,Yes,,1,,,,
Car Wash,No,,0,,,,
Caribbean,Yes,,1,,,,
Casinos,No,,0,,,,
Caterers,Yes,,1,,,,
Champagne Bars,Yes,,1,,,,
Cheese Shops,No,,0,,,,
Cheesesteaks,Yes,,1,,,,
Chicken Wings,Yes,,1,,,,
Chinese,Yes,,1,,,,
Chocolatiers & Shops,No,,0,,,,
Cinema,No,,0,,,,
Cocktail Bars,Yes,,1,,,,
Coffee & Tea,Yes,,1,,,,
Coffee & Tea Supplies,No,,0,,,,
Colleges & Universities,Maybe,,0,,,,
Colombian,Yes,,1,,,,
Comfort Food,Yes,,1,,,,
Convenience Stores,No,,0,,,,
Cooking Schools,No,,0,,,,
Country Dance Halls,No,,0,,,,
Couriers & Delivery Services,No,,0,,,,
Creperies,Yes,,1,,,,
Cuban,Yes,,1,,,,
Cultural Center,Maybe,,0,,,,
Cupcakes,Yes,,1,,,,
Curry Sausage,Yes,,1,,,,
Czech,Yes,,1,,,,
Dance Clubs,No,,0,,,,
Day Spas,No,,0,,,,
Delicatessen,Yes,,1,,,,
Delis,Yes,,1,,,,
Desserts,Yes,,1,,,,
Dim Sum,Yes,,1,,,,
Diners,Yes,,1,,,,
Distilleries,No,,0,,,,
Dive Bars,Yes,,1,,,,
Do-It-Yourself Food,No,,0,,,,
Dominican,Yes,,1,,,,
Donuts,Yes,,1,,,,
Drugstores,No,,0,,,,
Eastern European,Yes,,1,,,,
Eastern German,Yes,,1,,,,
Education,No,,0,,,,
Egyptian,Yes,,1,,,,
Ethiopian,Yes,,1,,,,
Ethnic Food,Yes,,1,,,,
Event Planning & Services,No,,0,,,,
Falafel,Yes,,1,,,,
Farmers Market,No,,0,,,,
Fashion,No,,0,,,,
Fast Food,Yes,,1,,,,
Festivals,No,,0,,,,
Filipino,Yes,,1,,,,
Financial Services,No,,0,,,,
Fish & Chips,Yes,,1,,,,
Fitness & Instruction,No,,0,,,,
Flowers & Gifts,No,,0,,,,
Fondue,Yes,,1,,,,
Food,Yes,,1,,,,
Food Court,Maybe,Merge with Cafetria?,0,,,,
Food Delivery Services,No,,0,,,,
Food Stands,Yes,,1,,,,
Food Trucks,,,0,,,,
French,Yes,,1,,,,
Fruits & Veggies,Yes,,1,,,,
Furniture Stores,No,,0,,,,
Gas & Service Stations,Maybe,,0,,,,
Gastropubs,Yes,,1,,,,
Gay Bars,Yes,,1,,,,
Gelato,Yes,,1,,,,
German,Yes,,1,,,,
Gluten-Free,Yes,,1,,,,
Golf,No,,0,,,,
Greek,Yes,,1,,,,
Grocery,No,,0,,,,
Haitian,Yes,,1,,,,
Halal,Maybe,,0,,,,
Hardware Stores,No,,0,,,,
Hawaiian,Yes,,1,,,,
Health & Medical,No,,0,,,,
Health Markets,No,,0,,,,
Hiking,No,,0,,,,
Himalayan/Nepalese,Yes,,1,,,,
Home & Garden,No,,0,,,,
Home Decor,No,,0,,,,
Home Services,No,,0,,,,
Hookah Bars,Maybe,,0,,,,
Horseback Riding,No,,0,,,,
Hot Dogs,Yes,,1,,,,
Hot Pot,Yes,,1,,,,
Hotels,No,,0,,,,
Hotels & Travel,No,,0,,,,
Hungarian,Yes,,1,,,,
Iberian,Yes,,1,,,,
Ice Cream & Frozen Yogurt,Yes,,1,,,,
Indian,Yes,,1,,,,
Indonesian,Yes,,1,,,,
International,Yes,,1,,,,
Internet Cafes,Yes,,1,,,,
Irish,Yes,,1,,,,
Irish Pub,Yes,,1,,,,
Italian,Yes,,1,,,,
Izakaya,Yes,,1,,,,
Japanese,Yes,,1,,,,
Jazz & Blues,Yes,,1,,,,
Juice Bars & Smoothies,Yes,,1,,,,
Karaoke,Yes,,1,,,,
Kebab,Yes,,1,,,,
Kids Activities,Yes,,1,,,,
Korean,Yes,,1,,,,
Kosher,Maybe,,0,,,,
Lakes,No,,0,,,,
Landmarks & Historical Buildings,No,,0,,,,
Laotian,Yes,,1,,,,
Latin American,Yes,,1,,,,
Lebanese,Yes,,1,,,,
Leisure Centers,No,,0,,,,
Live/Raw Food,Yes,,1,,,,
Local Flavor,Yes,,1,,,,
Local Services,No,,0,,,,
Lounges,Yes,,1,,,,
Mags,Maybe,,0,,,,
Malaysian,Yes,,1,,,,
Meat Shops,No,,0,,,,
Mediterranean,Yes,,1,,,,
Mexican,Yes,,1,,,,
Middle Eastern,Yes,,1,,,,
Modern European,Yes,,1,,,,
Mongolian,Yes,,1,,,,
Moroccan,Yes,,1,,,,
Music & Video,No,,0,,,,
Music Venues,No,,0,,,,
Musicians,No,,0,,,,
Nightlife,Maybe,,0,,,,
Nutritionists,No,,0,,,,
Organic Stores,No,,0,,,,
Oriental,Yes,,1,,,,
Outlet Stores,No,,0,,,,
Pakistani,Yes,,1,,,,
Parking,Maybe,,0,,,,
Party & Event Planning,Yes,,1,,,,
Party Supplies,,,0,,,,
Patisserie/Cake Shop,Yes,,1,,,,
Performing Arts,No,,0,,,,
Persian/Iranian,Yes,,1,,,,
Personal Chefs,Yes,,1,,,,
Personal Shopping,No,,0,,,,
Peruvian,Yes,,1,,,,
Pet Services,No,,0,,,,
Pets,No,,0,,,,
Piano Bars,Yes,,1,,,,
Pita,Yes,,1,,,,
Pizza,Yes,,1,,,,
Polish,Yes,,1,,,,
Pool Halls,No,,0,,,,
Portuguese,Yes,,1,,,,
Poutineries,Yes,,1,,,,
Pretzels,Yes,,1,,,,
Pub Food,Yes,,1,,,,
Public Services & Government,No,,0,,,,
Pubs,Yes,,1,,,,
Ramen,Yes,,1,,,,
Real Estate,No,,0,,,,
Resorts,Maybe,,0,,,,
Restaurants,Maybe,Everything should have this?,0,,,,
Russian,Yes,,1,,,,
RV Parks,No,,0,,,,
Salad,Yes,,1,,,,
Salvadoran,Yes,,1,,,,
Sandwiches,Yes,,1,,,,
Scandinavian,Yes,,1,,,,
Scottish,Yes,,1,,,,
Seafood,Yes,,1,,,,
Seafood Markets,No,,0,,,,
Serbo Croatian,Yes,,1,,,,
Shanghainese,Yes,,1,,,,
Shared Office Spaces,No,,0,,,,
Shaved Ice,Yes,,1,,,,
Shopping,No,,0,,,,
Shopping Centers,No,,0,,,,
Singaporean,Yes,,1,,,,
Social Clubs,No,,0,,,,
Soul Food,Yes,,1,,,,
Soup,Yes,,1,,,,
Southern,Yes,,1,,,,
Spanish,Yes,,1,,,,
Specialty Food,Yes,,1,,,,
Specialty Schools,No,,0,,,,
Sporting Goods,No,,0,,,,
Sports Bars,Yes,,1,,,,
Sports Clubs,No,,0,,,,
Sports Wear,No,,0,,,,
Steakhouses,Yes,,1,,,,
Street Vendors,Maybe,,0,,,,
Sushi Bars,Yes,,1,,,,
Swimming Pools,No,,0,,,,
Swiss Food,Yes,,1,,,,
Szechuan,Yes,,1,,,,
Taiwanese,Yes,,1,,,,
Tapas Bars,Yes,,1,,,,
Tapas/Small Plates,,,0,,,,
Tea Rooms,Yes,,1,,,,
Teppanyaki,Yes,,1,,,,
Tex-Mex,Yes,,1,,,,
Thai,Yes,,1,,,,
Ticket Sales,No,,0,,,,
Tours,Yes,,1,,,,
Travel Services,No,,0,,,,
Trinidadian,Yes,,1,,,,
Turkish,Yes,,1,,,,
Ukrainian,Yes,,1,,,,
Uzbek,Yes,,1,,,,
Vegan,Yes,,1,,,,
Vegetarian,Yes,,1,,,,
Venezuelan,Yes,,1,,,,
Venues & Event Spaces,No,,0,,,,
Vietnamese,Yes,,1,,,,
Wedding Planning,No,,0,,,,
Wine & Spirits,Yes,,1,,,,
Wine Bars,,,0,,,,
Wineries,Yes,,1,,,,
Wok,Yes,,1,,,,
Yoga,No,,0,,,,
